title,year,director,genre,synopsis,cover_url,copies_total,copies_available,rental_price,is_active,notes
100 YEAR OLD MAN THE - SWEDISH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
10TH DISTRICT COURT - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
12 ANGRY MEN (1957),1957,,CLASSIC,,,1,1,3.00,true,Format: DVD
12 YEARS A SLAVE,,,AWARD WINNER,,,1,1,3.00,true,Format: BLU-RAY
13 TZAMETI - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
17 GIRLS - FRENCH,,,"CRITICS' CHOICE, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
2 OR 3 THINGS I KNOW ABOUT HER - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD | Keywords: FRENCH
20 FEET FROM STARDOM,,,"AWARD WINNER, DOCUMENTARY",,,1,1,3.00,true,Format: DVD
2001: A SPACE ODYSSEY,,,SCI-FI/FANTASY,,,1,1,3.00,true,Format: DVD | Keywords: KUBRICK
3 HEARTS - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
3 PENNY OPERA - GERMAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
3 WOMEN,,,CRITERION,,,1,1,3.00,true,Format: DVD
3:10 TO YUMA-1957,,,"CRITERION, WESTERN",,,1,1,3.00,true,Format: DVD
39 STEPS THE,,,CRITERION,,,1,1,3.00,true,Format: DVD | Keywords: HITCHCOCK
"4 FILM FAVORITES (SPACE JAM, LOONEY TOONS BACK IN ACTION, FUNKEY MONKEY, OSMOSIS JONES)",,,,,,1,1,3.00,true,Format: DVD
400 BLOWS THE - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
49TH PARALLEL,,,CRITERION,,,1,1,3.00,true,Format: DVD
5 X 2 - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
7 DAYS - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD | Keywords: SUNDANCE
8 1/2 - ITALIAN,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
8 WOMEN - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
A L'AVENTURE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
A LA MODE - FRENCH,,,"COMEDY, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
A LITTLE PRINCESS / SECRET GARDEN,,,FAMILY,,,1,1,3.00,true,Format: DVD
A NOS AMOURS - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
ACCUSED THE,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD | Keywords: FOSTER
ADVENTURES OF FELIX - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AFFAIR OF LOVE AN - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AFRICAN QUEEN THE,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD | Keywords: BOGART
AFTER HOURS,,,,,,1,1,3.00,true,Format: 4K-ULTRA
AGE OF THE MEDICI THE - ITALIAN,,,"ECLIPSE, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
AGE OF UPRISING - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD | Keywords: MIKKELSEN
AIR RAID WARDENS / NOTHING BUT TROUBLE,,,CLASSIC,,,1,1,3.00,true,Format: DVD
ALAIN DELON: SWIMMING POOL / DIABOLICALLY YOURS / WIDOW COUDERC / THE GYPSY / OUR STORY - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
ALEXANDER NEVSKY - RUSSIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
ALI: FEAR EATS THE SOUL,,,CRITERION,,,1,1,3.00,true,Format: DVD
ALIAS BETTY - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
ALIEN AGENT,,,,,,1,1,3.00,true,Format: DVD
ALIEN VS PREDATOR: REQUIEM,,,,,,1,1,3.00,true,Format: DVD
ALL ABOUT EVE,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
ALL ABOUT MY MOTHER - SPANISH,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
ALL THAT HEAVEN ALLOWS,,,CRITERION,,,1,1,3.00,true,Format: DVD
ALL THAT JAZZ,,,"AWARD WINNER, MUSICAL",,,1,1,3.00,true,Format: DVD
ALL THE KING'S MEN,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
ALL THE PRESIDENT'S MEN,,,CRITICS' CHOICE,,,1,1,3.00,true,Format: DVD
ALL TOGETHER - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
ALPHAVILLE - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
AMARCORD - ITALIAN,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: BLU-RAY
AMER - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AMERICAN BEAUTY,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
AMERICAN IN PARIS AN,,,"AWARD WINNER, CLASSIC, MUSICAL",,,1,1,3.00,true,Format: DVD
AMERICAN SOLDIER THE - GERMAN,,,"ECLIPSE, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
AMOUR - FRENCH,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: BLU-RAY
AMOUR DE FEMME - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AMY,,,"AWARD WINNER, DOCUMENTARY",,,1,1,3.00,true,Format: DVD
AND EVERYTHING IS GOING FINE,,,CRITERION,,,1,1,3.00,true,Format: DVD
AND GOD CREATED WOMEN - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
AND NOW LADIES & GENTLEMEN - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
AND THE SHIP SAILS ON - ITALIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
ANDROCLES AND THE LION,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
ANGEL AT MY TABLE AN,,,CRITERION,,,1,1,3.00,true,Format: DVD
ANGEL-A - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
ANGELIQUE BOX SET - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
ANNIE HALL,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
ANTICHRIST,,,CRITERION,,,1,1,3.00,true,Format: DVD
ANTONIO GAUDI - JAPANESE,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
APART FROM YOU / EVERY-NIGHT DREAMS,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
APARTMENT THE,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
APOCALYPSE NOW,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
APRES VOUS - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
APRIL AND THE EXTRAORDINARY WORLD - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: BLU-RAY
ARABIAN NIGHTS,,,CRITERION,,,1,1,3.00,true,Format: DVD
ARGO,,,AWARD WINNER,,,1,1,3.00,true,Format: BLU-RAY
